sample,morpho_class_old,morpho_class
bgv007217,sp_ec,slc_ec
bgv007219,sp_ec,sp_ec
bgv007222,sp_ec,sp_ec
bgv007225,sp_ec,sp_ec
bgv007228,sp_3,
bgv007230,sp_3,sp_montane
bgv007232,sp_3,sp_montane
bgv007233,sp_ec,sp_ec
bgv007243,sp_ec,
bgv007244,sp_3,
bgv007250,sp_ec,
bgv007255,sp_ec,sp_ec
bgv007257,sp_ec,sp_ec
bgv007261,sp_3,
bgv007264,sp_ec,sp_ec
bgv007269,sp_3,
bgv007271,sp_ec,sp_ec
bgv007272,sp_ec,sp_ec
bgv007273,sp_3,
bgv007276,sp_ec,sp_ec
bgv007278,sp_3,
bgv007279,sp_ec,sp_ec
bgv007284,sp_ec,
bgv007287,sp_ec,sp_ec
bgv007298,sp_3,
bgv007300,slc_ma,slc_small
bgv007303,sp_ec,sp_montane
bgv007307,sp_ec,sp_montane
bgv007308,sp_ec,sp_montane
bgv007339,sp_pe_inter-andean,sp_pe
bgv007345,sp_pe_inter-andean,sp_pe
bgv007349,sp_3,sp_montane
bgv007350,sp_pe_inter-andean,sp_montane
bgv007355,,
bgv007356,sp_3,
bgv007358,sp_pe_inter-andean,sp_montane
bgv007359,sp_pe_inter-andean,sp_montane
bgv007361,sp_pe_inter-andean,sp_montane
bgv007364,sp_pe_inter-andean,sp_montane
bgv007366,sp_pe_inter-andean,sp_montane
bgv007944,sp_3,
bgv007945,sp_3,
bgv007947,sp_3,sp_montane
bgv007949,sp_3,
bgv007991,,
bgv007992,,
bgv007993,sp_3,sp_montane
bgv007994,,
bgv007995,,
bgv007996,sp_pe_inter-andean,sp_montane
bgv007997,sp_ec,sp_montane
bgv007998,sp_3,
bgv008001,sp_ec,sp_ec
bgv008004,slc_ma,
bgv008031,sp_3,
bgv008048,sp_ec,sp_ec
bgv009292,sp_ec,sp_ec
bgv009300,sp_ec,sp_ec
bgv009304,sp_ec,sp_ec
bgv009310,sp_ec,sp_ec
bgv013715,sp_pe_1,sp_pe
bgv013717,sp_pe_inter-andean,sp_montane
bgv013720,sp_ec,sp_montane
bgv013721,sp_3,
bgv013723,sp_pe_inter-andean,sp_montane
bgv013798,sp_3,
bgv015382,sp_ec,sp_montane
glp-05,sp_ec,sp_ec
glp-07,sp_ec,sp_ec
la2182,sp_ec,sp_montane
la2188,sp_ec,sp_montane
pe-73,sp_pe_1,sp_pe
pe-74,,
pt-218,sp_3,
pt-259,sp_3,
pt-261,sp_3,
pt-31,sp_pe_inter-andean,sp_montane
pt-43,sp_pe_inter-andean,sp_montane
pt-53,sp_pe_inter-andean,sp_montane
pt-60,sp_pe_inter-andean,sp_montane
t-46,sp_pe_inter-andean,sp_pe
bgv005895,slc_ma,slc_small
bgv005912,sll,slc_big
bgv006225,slc_ec,slc_ec
bgv006229,slc_ec,slc_ec
bgv006230,slc_ec,slc_ec
bgv006231,slc_ec,slc_ec
bgv006232,,
bgv006234,slc_ec,
bgv006235,slc_ma,slc_small
bgv006753,sll,
bgv006767,slc_ma,slc_small
bgv006768,sll,
bgv006775,slc_ec,
bgv006777,slc_ma,
bgv006779,slc_ec,slc_ec
bgv006792,slc_ma,
bgv006806,slc_ec,slc_ec
bgv006825,sll,
bgv006828,slc_ec,slc_ec
bgv006852,sll,slc_big
bgv006859,sp_ec,sp_ec
bgv006865,slc_ec,slc_ec
bgv006867,slc_ma,
bgv006881,slc_ec,slc_ec
bgv006896,slc_ec,slc_ec
bgv006899,slc_ec,slc_ec
bgv006901,slc_ec,slc_ec
bgv006904,slc_ec,slc_ec
bgv006906,slc_ec,slc_ec
bgv006907,slc_ec,slc_ec
bgv006910,sp_ec,sp_ec
bgv006927,sll,
bgv006931,sll,slc_big
bgv006934,sll,slc_big
bgv007015,sll,
bgv007017,sll,
bgv007023,slc_ma,slc_small
bgv012639,slc_ec,slc_ec
bgv007981,sll,
bgv007982,sll,slc_big
bgv007989,slc_ma,slc_small
bgv007990,slc_ec,
bgv008036,slc_ma,slc_small
bgv008037,slc_ma,
bgv008041,slc_ma,slc_small
bgv008042,slc_ec,
bgv008044,,
bgv008060,sll,slc_big
bgv008065,sll,slc_big
bgv008069,slc_ma,
bgv008077,sll,
bgv008095,sll,slc_big
bgv008096,,
bgv008098,sll,slc_big
bgv008100,sll,slc_big
bgv008106,sll,slc_big
bgv008108,slc_ma,slc_small
bgv008109,slc_ma,slc_small
bgv008189,slc_ec,
bgv012625,sll,
bgv012640,slc_ma,slc_small
bgv013156,sll,slc_big
bgv013161,slc_ma,slc_small
bgv013163,sp_ec,sp_ec
bgv013945,sll,
bgv013946,sll,slc_big
l00150,,
la-2309,,
bgv015725,sll,slc_big
bgv015731,sll,slc_small
bgv016050,sll,slc_big
bgv015726,sll,slc_big
bgv016051,sll,sll
bgv016052,sll,slc_big
bgv016053,sll,slc_big
bgv015734,sll,sll
bgv016054,sll,slc_big
bgv016055,sll,slc_big
bgv016056,sll,slc_big
bgv015727,sll,slc_big
bgv004584,sll,slc_big
bgv007901,slc_ma,
bgv007902,slc_ma,slc_small
bgv007908,slc_ma,slc_small
bgv007909,slc_ma,
bgv007910,slc_ma,
bgv007911,,
bgv007918,slc_ma,slc_small
bgv007920,sll,
bgv007921,slc_ma,
bgv007927,slc_ma,slc_small
bgv007928,slc_ma,slc_small
bgv007929,slc_ma,
bgv007930,slc_ma,slc_small
bgv007931,slc_ma,
bgv007933,slc_ma,
bgv007934,slc_ma,slc_small
bgv007935,,
bgv008051,slc_ma,slc_small
bgv008058,sp_ec,sp_ec
bgv008061,sll,sll
bgv008067,slc_ma,
bgv008070,slc_ma,slc_small
bgv008110,slc_ma,slc_small
bgv008218,slc_ma,slc_small
bgv008219,slc_ma,slc_small
bgv008221,slc_ma,
bgv008223,slc_ma,slc_small
bgv008224,sll,sll
bgv008225,slc_ma,slc_small
bgv008345,slc_ma,slc_small
bgv008347,slc_ma,slc_small
bgv008348,slc_ma,slc_small
bgv008354,sll,slc_big
bgv012614,slc_ma,
bgv012615,slc_ma,
bgv012627,slc_ma,slc_small
bgv013134,slc_ma,
bgv013175,slc_ma,slc_small
bgv015728,slc_ma,slc_small
bgv015729,sll,slc_big
la1712,slc_ma,
mex-059,sll,slc_big
mex-062,sll,sll
mex-068_r,sll,sll
mex-069,sll,sll
mex-117,,
bgv012626,slc_ma,slc_small
pi-129088,sll,slc_big
pi-406890,slc_ma,slc_small
pi-487625,sll,
bgv007854,sll,sll
bgv007857,sll,sll
bgv007860,sll,sll
bgv007861,sll,sll
bgv007862,sll,sll
bgv007863,sll,sll
bgv007864,sll,sll
bgv007865,sll,sll
bgv007866,sll,sll
bgv007867,sll,sll
bgv007868,sll,sll
bgv007869,sll,sll
bgv007870,sll,sll
bgv007871,sll,sll
bgv007872,sll,sll
bgv007873,sll,sll
bgv007875,sll,sll
bgv007876,sll,sll
bgv007878,sll,sll
bgv007936,sll,sll
